0,1,2,3,4,5,6,7,8
Inputs,,,,,,,Activities,Impact
,,,,,"Evidence Generation, Policy Dialogue and Advocacy",,,
"• Technical
Assistance(including
deployment of technical
experts and hiring of
NGOs)
• Financial Assistance
• Infrastructure
Support(MUAC tapes,
height and weight
measuring equipment)",,,,,,,"Model for supporting breastfeeding at
workplace(Mothers @ Work)","• Percentage of adolescent girls (15-
19 years) with low BMI (<18.5
kg/m2)
Baseline-31% (BDHS 2014)
Target-25% (2020)
Status- data not available
• Proportion of children 6- 59
months receiving Vitamin A
Baseline-90% Target-Maintained at least
90%
Status- 98.8%(2018, DHIS2, DGHS),
79% (BDHS, 2017)
• % of caregivers of children 0-23
months old receiving age
appropriate IYCF counselling at
facility
Baseline-<5% Target-60%
Status- 33%(Rural, 2018, DHIS2, DGHS)
• Percentage of children 0-5 months
old who are exclusively breastfed
Baseline- 55% (2014)
Target- 70% (2025)
Status-65% (BDHS 2017), 62.6% (MICS)"
,,,,,,,Pilot school- and community-based,
,,,,,,,programmes for adolescent,
,,,,,,,nutrition(Adolescent Club),
,,,,,,,,
,,,,,Equity-Responsive and Resilient Service Delivery,,,
• Technical,,,,,,,Invest in programmes in priority district to,
Assistance(including,,,,,,,"reach vulnerable groups ,including urban",
deployment of technical,,,,,,,slums,
experts and hiring of,,,,,,,"Improve coverage and quality of services
for adolescents and
mothers(Strengthening delivery of
nutrition services through health facilities,
AFHC and IMCI)",
NGOs),,,,,,,,
• Financial Assistance,,,,,,,,
• Infrastructure,,,,,,,,
"Support(MUAC tapes,",,,,,,,,
height and weight,,,,,,,Build capacity at district level for district,
measuring equipment),,,,,,,,
,,,,,,,"evidence-based planning, budgeting and",
,,,,,,,,
,,,,,,,management of nutrition services,
,,,,,,,,
