0,1,2,3
3 days Training on basic management skill with curriculum development and curriculum review,,,134
"6 days Training on Applied forensic Medicine including post mortem for MOs, RMOs and UH&FPO
(including curriculum development)",,,250
"Achievement of In-Service Training (IST) from July,2008 to April,2009 Local Training
(contd...)",,,
Name of Activity,,,
,,,Achievement
"6 days Training on improved financial management for personnel working at Division, District, Upazila and
Specialized Institutions, TTU and Others Including curriculum Review",,,
,,,369
"21 days basic service management training for newly recruited doctors including TOT & curriculum
development/Review.",,,265
"Training on TMIS recording and reporting for personnel of DTCC & DUTT and other related institutions
including guide book",,,200
Advanced training on computer networking (including Curriculum/Guide book Development review (28 days),,,56
"Hardware training on computer operation for officer and staff (including Curriculum/Guide book
Development/ review.) (28 days )",,,173
"Computer programming on MS access and SPSS for officer and staff (including Curriculum/Guide book
Development/ review.) (28 days )",,,77
"Computer programming on Graphics Design and webpage design for officer and staff (including Curriculum /
Guide book Development/ review.) (28 days )",,,75
"28 days basic computer training on operating system, installation, internet etc. for the persons of MOHFW,
DGHS and autonomous institute.",,,210
"14 days refresher computer training on operating system, installation, internet etc.for the persons of
MOHFW, DGHS and autonomous institute.",,,289
2 days PMIS Training for PMIS recording & reporting tools.,,,
,,,370
2 days Training for service statistics related MIS recording & reporting tools.,,,494
,"5 days Training on standard operating procedures (SOP) regarding IPD, OPD, OT, emergency, house",,150
,"keeping, record keeping, nursing services, diagnostic services, etc. for service providers of primary,",,
,secondary and tertiary Hospitals including monitoring and supervision including curriculum review.,,
15 Days Computer Training on DMIS for Health Personnel from district and Upazilla,,,377
"5 days Mid level management development programme for personnel from district level Health managers &
UH& FPO including curriculum development/Review",,,208
"Development of Management Information System (MIS) at Primary, Secondary, tertiary and Specialized
Hospitals and developing computer skill of related personnel by providing Basic Computer Training and
hands on training on developed software including Curriculum development.",,,44
21 days advanced computer training on District management Information System (DMIS).,,,90
28 days English language course for health personnel,,,25
1 day orientation for awareness building on violence against women for community leaders,,,723
"2 days Training programme on reproductive health for community Gate keeper (UP Chairman, UP member,
Imam, School teachers and health volunteers) including curriculum review",,,201
,,,
,2 days Training on infection prevention policy and practice for District & Upazilla Health Personnel including,,915
,Curriculum review,,
3 days Training on basic management skill with curriculum development and curriculum review,,,
,,,60
,,,
,6 month Training for Doctors on Obs & Gymea (EmOC) including TOT & curriculum development/review,,162
6 month Training for Doctors on Anesthesia (EmOC) including TOT & curriculum Development/Review,,,162
