0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
COVID-19 Response Questions,DMCH,RMCH,CuMCH,MMCH,SSKMCH,KMCH,MuMCH,SSMCH,CMCH,,DNCC,,NIPSOM,FMCH,,MC at,,Remarks
,,,,,,,,,,,COVID,,,,,Akhaura,,
,,,,,,,,,,,dedicated,,,,,Land,,
,,,,,,,,,,,Hospital,,,,,Port,,
"Engage a full time EHS
professional at site",FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,,,FC,FC,FC,,,
"Purchase thermometer gun, soap,
hand sanitizer, disinfectants, and
PPEs (mask, hand gloves, hard
shoes etc.) and keep it at worksite
office.",FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,,,FC,FC,FC,,,
"Establish site entrance protocol.
Redesign the site safety
notices/signboards/protocol
according to the ADB guidelines",FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,,,FC,FC,FC,,,
"Arrange washbasin, soap, and
clean water at the entrance of
every worksite/campsite. Also
keep either a disinfectant tub for
shoes or keep disinfectant spray
that must be sprayed under the
boots/hard shoes of the persons
entering worksite.",FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,,,FC,FC,FC,,,
"Provide every personnel working
in the site with mask, hand gloves
and hard shoes for their personal
use.",FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,,,FC,FC,FC,,,
"Everyone entering the worksite
must wear a mask, gloves and
hard shoes",FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,,,FC,FC,FC,,,
Daily worksite protocol,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,,,FC,FC,FC,,,
"At the start and end of the day
disinfect the total worksite.",PC,FC,PC,FC,FC,FC,FC,FC,FC,FC,,,FC,FC,FC,,,"Contractor is
advised to
ensure"
"Encourage site personnel/camp
dwellers to not touch their eyes,
mouth or nose if not washed
thoroughly with soap recently.",PC,FC,PC,PC,FC,FC,FC,FC,FC,FC,,,FC,FC,FC,,,"Workers are
advised to
follow the
rules"
