0,1,2,3
SL,Name of Institute,Estd. year,Seats
1,"Dhaka Medical College, Dhaka",1946,230
2,"Sir Salimullah Medical College, Mitford, Dhaka",1972,230
3,"Shaheed Suhrawardy Medical College, Sher-e-Bangla Nagar,
Dhaka",2005,200
4,"Mymensingh Medical College, Mymensingh",1962,230
5,"Chattogram Medical College, Chattogram",1962,230
6,"Rajshahi Medical College, Rajshahi",1962,230
7,"MAG Osmani Medical College, Sylhet",1966,230
8,"Sher-e-Bangla Medical College, Barisal",1968,230
9,"Rangpur Medical College, Rangpur",1972,230
10,"Cumilla Medical College, Cumilla",1992,180
