0,1,2,3
Type of Institution,Year,,"Increase in
number"
,2009,2022,
Medical University,1,5,4
Government medical college,17,37,20
Private medical college,40,66,26
Army and Armed Forces medical college,1,6,5
Government dental college and unit,3,9,6
Private dental college and unit,11,26,15
Government institute of health technology (IHT),3,23,20
Private institute of health technology (IHT),38,97,59
Government medical assistant training school (MATS),7,16,9
Private medical assistant training school (MATS),23,200,177
Total number of institutions,144,485,341
