0,1,2,3
"Table 18.1. Allocation, expenditure, and utilization in FY 2015-2016 of HPNSDP 2011-2016 fund
against different operational plans of the DGHS",,,
Program,"Allocation
(BDT in lakh)","Expense
(BDT in lakh)","Utilization
rate (%)"
"Maternal, Neonatal, Child and Adolescent Health","57,788.00","48,145.19",83.31
Essential Services Delivery,"11,500.00","4,510.00",39.22
Community-based Healthcare,"25,000.00","18,046.76",72.19
TB and Leprosy Control,"13,250.00","9,242.75",69.76
National AIDS/STD Program,"3,950.00","2,549.34",64.54
Communicable Diseases Control,"14,000.00","12,674.27",90.53
Non-communicable Diseases,"4,173.00","2,714.22",65.04
National Eye Care,432.00,333.18,77.12
Hospital Services Management & Safe Blood Transfusion,"51,700.00","46,395.68",89.74
Alternative Medical Care,"3,500.00","3,132.56",89.50
In-service Training,"3,100.00","2,413.68",77.86
Pre-service Education,"17,500.00","17,215.70",98.38
"Planning, Monitoring, and Research (Health)",400.00,392.18,98.04
Health Information System and eHealth,"6,600.00","6,551.75",99.27
Health Education and Promotion,"3,200.00","2,232.28",69.76
"Procurement, Logistics and Supplies Management","12,597.00","11,640.84",92.41
National Nutrition Services,"8,900.00","4,444.78",49.94
Total OPs of DGHS,"237,590.00","192,635.16",81.08
