0,1,2,3
Topic/subject of the training/workshop/seminar,Duration,No. of batches,No. of participants
"TOT for Doctors on Advanced ESD Clinical Skills Training Course on Reproductive Health under
HPNSDP",6 days,1,14
"TOT for Doctors on Advanced ESD Clinical Skills Training Course on Reproductive Child Healthcare
under HPNSDP",6 days,1,18
Research Methodology under HPNSDP,,2,38
"TOT on Nutrition Program, Planning & Management under HPNSDP",6 days,2,39
Training on Complementary Feeding under HPNSDP,6 days,3,59
Breastfeeding Counseling Training for the Healthcare Providers,6 days,4,76
Refresher Course on Computer Training,6 days,2,30
Training on HIV/AIDS,6 days,1,15
Training on GLP and Lab Management for Health Personnel,10/5,27,520
Training on Occupational Safety,6 days,1,30
Training on Research Methodology,6 days,1,33
Nutritional Anthropometrical Study,6 days,1,30
Epidemiological Survey of Health Status,6 days,1,30
Faculty Development,,2,63
Seminar on Emerging Issues,1 days,8,224
Certificate Course on Clinical Epidemiology,3 month,1,12
Training on Disease Surveillance,3 days,2,44
Training on Outbreak Investigation,3 days,4,63
Training on Communication Skill Development and IT,5 days,4,64
Orientation Training on Basic Surgical Skill Development,3 days,12,224
"Training of Teachers of Postgraduate Medical Institutes, Medical Colleges, Nursing Colleges,
Paramedical Institutes, and MATS",3-7 days,2,44
Training on Educational Management,3-7 days,2,38
Total,,84,1708
Overseas Training,,,
Different Clinical Specialties,,,
Short-term (4 weeks or less) Clinical Training for Health Service Providers,1- 4 weeks,4,35
Short-term (4 weeks or less) Training for Basic Science and Para-clinical Medical Teachers,1- 4 weeks,2,14
Different Management and Public Health Specialties,,,
"Short-term (4 weeks or less) Training on Training and Teaching Technology, Hospital Management,
Personnel Management, Waste Management, Exposure Visit of Teachers for Curriculum Development",1-4 weeks,2,32
Specialized Overseas Training,,,
"Short-term (4 weeks or less) Hands-on Clinical Training for Health Service Providers in Local
Institutions (Resource persons from abroad)",1- 4 weeks,8,19
Sub-total of Overseas Training,,30,100
Grand total,,1158,29149
