0,1,2,3
Topic/subject of the training/workshop/seminar,Duration,No. of batches,No. of participants
Training on Asthma Prevention and Management for Doctors,5 days,14,350
Training for Healthcare Providers (Doctors and Nurses) on Youth-friendly Health Services,3 days,18,450
Training on Basic Dental Healthcare for Primary Healthcare Providers,5 days,13,325
Training on Recent Advances in Dentistry for Dental Surgeons,6 days,06,150
Orientation on Autism Awareness for Health Personnel and Opinion Leaders at Upazila Level,1 day,115,2875
Basic Training (Management & Clinical) for Medical Assistants,6 days,19,475
Training for Doctors on Rational Use of Antimicrobials,3 days,10,250
"Orientation for Awareness-building on Fistula Prevention and Care for Field Service Providers and
Social Representatives",1 day,25,625
Training on Primary Management of Burn for Nurses and Paramedics,14 days,7,175
"Training on Cancer Awareness, Screening and Primary Detection for Doctors",5 days,11,275
Workshop on Medical Biotechnology,2 days,32,640
Training on Rational/Proper Use of Blood and Blood Product Transfusion for Doctors and Technologists,2 days,8,184
Training of Doctors on Rational Use of Antimicrobials,3 days,10,250
"Training on Food Adulteration for UHFPO, RMO, MO, SI, HI, DHI etc.",5 days,14,350
"Orientation for Awareness-building on Fistula Prevention and Care for Field Service Providers and
Social Representatives",1 day,25,625
Total for Essential Service Delivery (ESD) Training,,710,17574
Management Training,,,
Basic Service Management Training for Newly-recruited Doctors,7 days,23,483
"Management Training on Cardiac Emergency for Health Personnel at Division, District and UZ Levels",7 days,13,325
"Training on Improved Financial Management for Personnel Working at Division, District, Upazila
Levels, and Specialized Institutions, TTU, and Others",6 days,13,325
Training on Office Management for Office Staff,5 days,18,450
Laboratory Management Training for Laboratory Technicians,7 days,13,312
English Language Course for Nurses,28 days,28,420
Arabic Language Course (Training) for Nurses,28 days,27,405
Basic Computer Training for Health Personnel,28 days,15,255
"Refresher Computer Training on Operating System, Installation, Internet, etc. for the Personnel of
MOHFW, DGHS, and Autonomous Institutions",14 days,25,435
"Training on Epidemiology, Clinical Management and Prevention of Diarrheal Diseases and
Malnutrition for Doctors and Paramedics",5 days,14,350
"Training for SSN, SNs, ASN, MTs, and others on Proper Use and Preventive Maintenance of Medical
Equipment",3 days,20,560
"Training on Standard Operating Procedures (SOPs) regarding IPD, OPD, OT, Emergency, House-keeping,
Record-keeping, Nursing Services, Diagnostic Services, etc. for Service Providers of Primary, Secondary
and Tertiary Hospitals",5 days,17,425
Basic Training on Hospital Waste Management for Support Staff,3 days,20,500
Training on Store Management for Store-keepers,5 days,06,150
"Training on Gender Issue for Field Staff (HA, AHI, HI, SI, etc.)",3 days,49,1225
"Orientation on Joint Simulation Exercise with BDRCS at the Most Cyclone-prone Districts (Multi-
sectoral Approach) on Emergency Preparedness and Response)",2 days,17,425
Training for MOs and Field Staff on Disaster Mitigation/Post-disaster Hazards,2 days,20,500
Training Course on Mass Casualty Management for Hospital-level Staff,2 days,17,425
"Basic Training on Patient-care and Hospital Management for Nurses, MTs",15 days,11,253
Training on Health Statistics for Statistical Personnel Working at Different Levels of Health Services,7 days,6,144
Training for Medical Technologists (Radiology) on CT MR and CR,14 days,10,250
Total of management training sessions,,382,8617
Orientation for the Members of DTCC and DUTT,1 day,41,1025
Development and Review of Curriculum and Training Policy,3 days,6,120
Upgrading Training Management Information System (TMIS),1,5,5
Total:,,52,1150
(a) Sub-total of local training sessions,,1144,27341
"Subject-wise Specialized Training to be Implemented by ICMH, IPH, NIPSOM, IEDCR, BCPS, CME",,,
