0,1,2,3
"Table 16.18. Number of participants in on-the-job training given under the operational plan of in-
service training in FY 2014-2015",,,
"Area/subject of the training/
workshop/seminar",Duration,"No. of
batches","No. of
participants"
A. Local training (short-term),,,
Essential service delivery,1–21 day(s),710,"17,574"
Management training,3–15 days,382,"8,617"
"Orientation of the members of District Training
Coordination Committee (DTCC) and District
Upazila Training Team (DUTT)",1 day,41,"1,025"
"Development and review of curriculum and
training policy",3 days,6,120
"Upgrading Training Management Information
System (TIMS)",1 day,5,5
"Subject-wise specialized training implemented by
ICMH, IPH, NIPSOM, IEDCR, BCPS, and CME",1 day–3 month(s),84,"1,708"
Sub-total: local training,-,"1,228","29,049"
B. Overseas training,,,
a. Different clinical specialties,,,
"Short-term (4 weeks or less) clinical training for
health service providers",1–4 week(s),4,35
Contd.,,,
