0,1,2,3
Topic/subject of the training/workshop/seminar,Duration,No. of batches,No. of participants
Local Training,,,
Short-term,,,
Essential Service Delivery (ESD),,,
ESD Basic Training for Field Service Providers,21 days,24,600
ESD RefresherTraining for Field Service Providers,6 days,50,1250
Training on Nutrition for Field Service Providers,6 days,47,1175
Training on Emergency Medical and Surgical Care for Doctors,7 days,18,450
Training on Medical and Surgical Emergency Management for Support Staff,7 days,28,700
Training on Primary Management of Burn for Nurses and Paramedics,14 days,7,175
Training on Primary Management & Prevention of Kidney & Urological Diseases for Physicians,6 days,08,200
Training on Kidney & Urological Diseases for Nurses,6 days,15,375
Orientation Training on Kidney & Urological Diseases for Health Workers,3 days,50,1250
Training Program for Doctors on Mental Health,6 days,18,450
Training Program for Health Workers on Mental Health,14 days,17,425
"Training on Cancer Awareness, Screening and Primary Detection for Doctors",5 days,11,275
Orientation on Early Detection of Breast and Cervical Cancer for Doctors and Nurses,2 days,17,425
Orientation on Cervical and Breast Cancer Awareness for Opinion Leaders,1 day,14,350
Training on Primary Eye Care for Doctors,6 days,16,400
Training on Primary Eye Care for Nurses and Paramedics,6 days,18,450
Training for Doctors on Violence against Women and Girls,6 days,13,325
"Orientation for Awareness-building on Violence against Women for Health Workers (HA, AHI, HI, SI, etc.)",1 day,12,300
