0,1,2,3
"Table 18.2. Allocation, expenditure, and utilization in FY 2015-2016 under HPNSDP 2011-2016 for
different investment projects",,,
Investment project,"Allocation
(BDT in
lakh)","Expense
(BDT in
lakh)","Utilization
rate
(%)"
"Establishment of 250 bed National Ophthalmology Inst. and
Hospital (1st Phase: 250 beds)",20.00,6.76,33.79
"Upgradation of National Institute of Cancer Research and
Hospital from 50 beds to 300 beds",750.00,485.99,64.80
"Establishment of National Institute of Laboratory Medicine
and Referral Centre","4,885.00","3,576.53",73.21
"Establishment of Essential Drugs Company Limited, 3rd
Plant, Gopalganj","11,615.00","5,929.72",51.05
Expansion and Quality Improvement of Nursing Education,"2,405.00","1,314.64",54.66
Conversion of BSMMU to a center of excellence,"6,862.00","6,191.65",90.23
"Establishment of National Centre for Cervical and Breast
Cancer Screening and Training at BSMMU",210.00,206.58,98.37
"Establishment of Sheikh Sayera Khatun Medical College and
Hospital and Nursing Institute, Gopalganj","4,800.00","4,796.71",99.93
Establishment of Satkhira Medical College & Hospital,"3,446.00","3,208.32",93.10
Establishment of Faridpur Medical College & Hospital,"10,926.74","10,647.75",97.44
National Institute of Digestive Diseases Research & Hospital,20.00,19.07,95.35
Establishment of Kushtia Medical College and Hospital,"6,003.00","5,148.05",85.76
"Establishment of Shaheed Sayed Nazrul Islam Medical
College, Kishoreganj","12,277.00","10,581.00",86.19
"Extension of Shaheed Sheikh Abu Naser Specialized Hospital,
Khulna","1,990.00",0.00,0.00
Establishment of Trauma Centre at Gopalganj,735.00,232.00,31.56
"Sustaining Influenza Surveillance Networks and Response to
Seasonal and Pandemic Influenza in Bangladesh",134.90,223.00,165.31
"Provision for equipment and professional training for Ahsania
Mission Cancer Hospital","2,000.00","2,000.00",100.00
"Extension of National Institute of Orthopedic Hospital and
Rehabilitation Center (NITOR) (RADP-1)","5,000.00","4,457.88",89.16
Establishment of Nursing Institute of Pabna,607.00,606.73,99.99
"Establishment of National Institute of Advanced Practice
Nurses in Bangladesh",750.00,0.00,0.00
Establishment of Sheikh Lutfar Rahman Dental College,187.58,0.00,0.00
"Establishment of the Institute for Pediatric Neuro-disorder
and Autism in BSMMU",425.00,151.80,35.72
"One Health Fellowships–Integrating Education and Action for
One Health in Bangladesh",100.46,65.73,65.43
Establishment of Medical College and 250-bed Hospital in Manikganj,40.00,39.85,99.62
"Establishment of National Institute of Burn and Plastic
Surgery, Dhaka",200.00,102.84,51.42
Total,"76,389.68","59,992.61",78.53
