0,1,2,3
Division,Name of institution,Degree,No. of seats
Under the Ministry of Health and Family Welfare,,,
Dhaka,"Nursing College, Mohakhali, Dhaka",Post- basic BSc,125
Chittagong,"Foujderhat Nursing College, Chittagong",Post- basic BSc,125
Rajshahi,"Bogra Nursing College, Bogra",Post- basic BSc,125
Khulna,"Khulna Nursing College, Khulna",Post-basic BSc,125
Total no. of nursing colleges offering Post-basic BSc =4,,Total seats,500
Under the Ministry of Defence,,,
"Armed Forces Medical Institute, Dhaka Cantonment, Dhaka",,Post- basic BSc,25
Total no. of nursing colleges offering Post-basic BSc courses=4+1=5,,Total seats,525
