0,1,2,3
Division,Name of institution,Year of establishment,No. of seats
Barisal,"Morning Sun Assistant Training School (MATS), Nobogram Road, Barisal",2012,25
,"Disable Welfare Foundation Medical Assistant Training School, Sabujbagh, Patuakhali",2012,50
,"Jomjom Medical Assistant Training School, Kazipara, C&B Road, Barisal",2012,100
,"DWF Medical Assistant Training School, Himel Cottage, C&B Road, Barisal",2014,50
,"Advance Institute of Medical & Dental Technology with MATS, Chandmari, Barisal",2014,50
,"Progressive Medical Assistant Training School, Bauphol, Patuakhali",2014,50
Rangpur,"Rangpur Medical Assistant Training School, Islambag, RK Road, Rangpur",2010,105
,"Anwara Medical Assistant Training School, Mirzapur, Suihari, Dinajpur",2011,100
,"Renin Medical Assistant Training School, Lalmonirhat",2011,50
,"Central Medical Assistant Training School (MATS), Rangpur",2011,50
,"Green International Medical Assistant Training School, Rangpur",,150
,"Prime Medical Assistant Training School, Rangpur",2012,80
,"Rangpur CT MATS, Kelabond C O Bazar, Rangpur",2012,80
,"Birampur Medical Assistant Training School, Birampur, Dinajpur",2012,50
,"Janata Medical Assistant Training School, Nageshwori, Kurigram",2011,50
,"Creative Medical Assistant Training School, Hospital Road, Nilphamari",2012,50
,"North Bengal Medical Assistant Training School, College Road, Gaibandha",2013,50
,"Oriental Medical Assistant Training School, Gobindanagar, Thakurgoan",2013,50
,"Institute of Health Technology, MATS, Paharpur, Dinajpur",2013,50
,"Green Life Medical Assistant Training School, New Town, Dinajpur",2014,50
,"M.A. Medical Assistant Training School, Halpara, Thakurgoan",2015,50
,"Abul Hossain Medical Assistant Training School, Suihari, Dinajpur",2015,50
,"Panchagarh Medical Assistant Training School, Tetulia, Panchagarh",2015,50
,"Rangpur Delta Medical Assistant Training School, RK Road, Rangpur",2015,50
Sylhet,"Jalalabad Medical Assistant Training School, Sylhet",2011,50
,"Maulvibazar Medical Assistant Training School, Kushumbag, Maulvibazar",2011,80
,"Sylhet Medical Assistant Training School, South Surma, Sylhet",2012,70
,"RTM International Medical Assistant Training School, Sylhet Sadar",2013,100
,"Symantik Medical Assistant Training School, Shahjalal Upashohor, Sylhet",2013,100
,"National Life Care Medical Assistant Training School, Upashohor Road, Sonarpar, Sylhet",2013,50
,"Asha Medical Assistant Training School, Chunarughat, Habiganj",2013,50
Total,,,12335
