0,1,2,3
Table 4.6.8. Production and distribution of leaflets and booklets,,,
"SL
no",Topic,Number of leaflets,Number of booklets
1,"Lightening, thunderbolts, land-slides, and flood","75,000","1,300"
2,Anemia and malnutrition,"80,000","2,000"
3,"Importance of healthful food, rest, and exercise for
the prevention of NCDs","100,000","1,400"
4,Prevention of burn,"90,000","11,000"
5,Control and prevention of diabetes,"50,000",
6,"Control of tobacco and alcohol consumption and
safe motherhood","50,000",
7,Food safety and safe food practice,,"11,00"
Total,,"445,000","16,800"
