0,1,2,3
Table 4.3.1. Activities for the control of kala-azar,,,
Activity/Indicator,NKEP,ASCEND,Total
No. of cluster searches conducted,2,135,137
No. of case investigations completed,4,8,12
"No. of households surveyed during cluster search and case investi-
gation",138,"9,336","9,474"
No. of people screened during cluster search and case investigation,595,"38,122","38,717"
"No. of people suspected as kala-azar cases (fever for >2 weeks)
during cluster search and case assessment",12,"1,081","1,093"
"No. of people suspected as PKDL (PKDL-like skin lesion) during
cluster search and case assessment",0,160,160
"No. of rK39-positive cases during cluster search and case assess-
ment",0,39,39
"No. of people diagnosed with kala-azar during cluster search and
case assessment",0,2,2
"No. of people diagnosed with PKDL during cluster search and
case assessment",0,24,24
