0,1,2,3
Table 1.1. Geography and administrative units of Bangladesh,,,
Geography,,,
Location,"Latitude: between 20°34’ and 26°38’ North
Longitude: between 88°01’ and 92°41’ East",,
Boundary,North and West: India; East: India and Myanmar; South: Bay of Bengal,,
Total area,"~148,460 square km",Climate,Tropical
Land area,"~130,170 square km",Standard time,GMT +6 hours
Water area,"~18,290 square km",Rainfall,203 mm/month
Territorial water,12 nm,Climate,Tropical
Coastline,580 km,,
Administrative Unit,,,
Division,8,Paurashava,328
District,64,Paurashava ward,"3,075"
City corporation,12,Union,"4,596"
City corporation ward,465,Mauza,"58,846"
Upazila,495,Village (in rural area),"98,049"
Metro Thana,105,,
