0,1,2,3
Table 8.11. Infrastructural progress during 2009 to 2023,,,
Type of institution,Year,,"Increase in
numbers"
,2009,2023,
Medical University,1,5,4
Government Medical College,17,37,20
Private Medical College,40,67,27
Army and Armed Forces Medical College,1,6,5
Government Dental College and Unit,3,9,6
Private Dental College and Unit,11,26,15
Government Institute of Health Technology (IHT),3,23,20
Private Institute of Health Technology (IHT),38,97,59
"Government Medical Assistant Training School
(MATS)",7,20,13
Private Medical Assistant Training School (MATS),23,200,177
Total number of institutions,144,490,346
