0,1,2,3
Table continued...,,,
Type,"Level of
facilities",No. of facilities,"No. of
sanctioned beds"
"District-level hospital (250-bed) (district/
general hospital)",,53,"13,250"
"District-level hospital (250-bed) (district/
general hospital)",,6,600
Infectious disease hospital,,5,180
Leprosy hospital,,3,130
Port health office,,2,0
Trauma center,,9,170
Other hospitals,,5,"1,000"
Sub-total of secondary-level hospitals,,205,"16,196"
Division-level office (divisional health office),Tertiary,8,0
Dental college hospital,,1,200
Hospital of alternative medicine,,2,200
Medical college hospital,,35,"25,550"
Specialized health center,,3,0
Specialized hospital,,2,750
Specialty postgraduate institute and hospital,,12,"5,920"
Other hospitals,,1,500
Total no. of tertiary-level facilities,,64,"33,120"
"Total no, of secondary and tertiary-level facilities",,269,"49,316"
