0,1,2,3
Table continued...,,,
"Sl.
no.",Indicator,"Base year’s information
(source with year)","8th FYP target
(FY 2025)"
5.,"Maternal mortality ratio (per 100,000
livebirths)",123 (World Bank 2020),100
6.,"Proportion of underweight among
under-5 children (%)",22.6 (MICS 2019),15
7.,"Proportion of stunting among under-5
children (%)",24 (BDHS 2022),20
Output,,,
8.,"Proportion of births attended by
medically-trained care providers (%)",70 (BDHS 2022),72
9.,Contraceptive prevalence rate (%),72.17% (BDHS 2022),75
10.,"Proportion of children fully-vaccinated
by 12 months (%)",89 (BDHS 2017-2018),98
11.,"Proportion of births in health facilities by
wealth quintile (ratio of the lowest and
the highest quintile)",1:3 (BDHS 2017-2018),1: 1.5
12.,"Tuberculosis incidence per 100,000
population","221 (Global Tuberculosis
Report, WHO, 2021)",112
