0,1,2,3
School Health Clinics,,,
Dhaka Division,,Rajshahi Division,
1,"Armnitola School Health Clinic, Dhaka",1,"Bogra School Health Clinic, Bogra"
2,"Azimpur School Health Clinic, Dhaka",2,"Dinajpur School Health Clinic, Dinajpur"
3,"Faridpur School Health Clinic, Faridpur",3,"Nilphamari School Health Clinic, Saidpur , Nilphamari"
4,"Mymensingh School Health Clinic, Mymensingh",4,"Pabna School Health Clinic, Pabna"
5,"Narayanganj School Health Clinic, Narayanganj",5,"Rajshahi School Health Clinic, Rajshahi"
6,"Sher-e-Bangla Nagar School Health Clinic, Dhaka",6,"Rangpur School Health Clinic, Rangpur"
7,"Tangail School Health Clinic, Tangail",Khulna Division,
Chittagong Division,,1,"Jessore School Health Clinic, Jessore"
1,"Begunganj School Health Clinic, Noakhali",2,"Khulna School Health Clinic, Khulna"
2,"Chittagong School Health Clinic, Chittagong",3,"Kushtia School Health Clinic, Kushtia"
3,"Comilla School Health Clinic, Comilla",Barisal & Sylhet Division,
4,"Maijdee School Health Clinic, Noakhali",1,"Barisal School Health Clinic, Barisal"
5,"Rangamati School Health Clinic, Rangamati",2,"Sylhet School Health Clinic, Sylhet"
Infectious Diseasese Hospitals,,,
1,"Infectious Diseases Hospital, Dhaka",4,"Infectious Diseases Hospital, Khulna"
2,"Infectious Diseases Hospital, Chittagong",5,"Infectious Diseases Hospital, Sylhet"
3,"Infectious Diseases Hospital, Rajshahi",,
