0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,Radiography,,,,,,Labratory,,,,,,Pharmacy,,,,,,Sanitary Inspector,,,,,,Dental,,,,,
Sl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Dhaka,,,Rajshahi,,,Dhaka,,,Rajshahi,,,Dhaka,,,Rajshahi,,,Dhaka,,,Rajshahi,,,Dhaka,,,Rajshahi,,
No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,2001,37,0,37,29,8,37,30,0,30,22,6,28,12,0,12,20,4,24,34,0,34,,,,19,0,19,,,
2,2002,8,5,13,13,3,16,22,4,26,15,5,20,12,0,12,13,1,14,31,4,35,,,,17,2,19,,,
3,2003,5,1,6,5,2,7,5,1,6,11,1,12,23,8,31,31,2,33,6,0,6,,,,,,,,,
4,2004,13,4,17,20,0,20,28,5,33,29,4,33,33,6,39,20,10,30,26,7,33,11,4,15,18,2,20,8,1,9
5,2005,23,6,29,30,1,31,28,6,34,26,4,30,19,5,24,25,4,29,25,6,31,11,2,13,19,12,31,8,1,9
Total,,86,16,102,97,14,111,113,16,129,103,20,123,99,19,118,109,21,130,122,17,139,22,6,28,73,16,89,16,2,18
