0,1,2,3
Upazila Health Complexes,,,
7,"Paikgacha Upazila Health Complex , Khulna",5,"Mongla Upazila Health Complex , Bagerhat"
,Bagerhat,,Jhenaidah
6,"Morrelganj Upazila Health Complex , Bagerhat",3,"Kotchandpur Upazila Health Complex , Jhenaidah"
7,"Rampal Upazila Health Complex , Bagerhat",4,"Moheshpur Upazila Health Complex , Jhenaidah"
8,"Sarankhola Upazila Health Complex , Bagerhat",5,"Sailkupa Upazila Health Complex , Jhenaidah"
,Satkhira,,Magura
1,"Assasuni Upazila Health Complex , Satkhira",1,"Mohammadpur Upazila Health Complex , Magura"
2,"Debhatta Upazila Health Complex , Satkhira",2,"Salika Upazila Health Complex , Magura"
3,"Kalaroa Upazila Health Complex , Satkhira",3,"Sreepur Upazila Health Complex , Magura"
4,"Kaliganj Upazila Health Complex , Satkhira",,Chuadanga
5,"Shyamnagar Upazila Health Complex , Satkhira",1,"Alamdanga Upazila Health Complex , Chuadanga"
6,"Tala Upazila Health Complex , Satkhira",2,"Damurhuda Upazila Health Complex , Chuadanga"
,Meherpur,3,"Jibannagar Upazila Health Complex , Chuadanga"
1,"Gangni Upazila Health Complex , Meherpur",,Jhenaidah
2,"Mujib Nagar Upazila Health Complex , Meherpur",1,"Harinakunda Upazila Health Complex , Jhenaidah"
,Kushtia,2,"Kaliganj Upazila Health Complex , Jhenaidah"
1,"Bheramara Upazila Health Complex , Kushtia",,Jessore
2,"Daulatpur Upazila Health Complex , Kushtia",1,"Abhoynagar Upazila Health Complex , Jessore"
3,"Khoksha Upazila Health Complex , Kushtia",2,"Bagerpara Upazila Health Complex , Jessore"
4,"Kumarkhali Upazila Health Complex , Kushtia",3,"Chowgacha Upazila Health Complex , Jessore"
5,"Mirpur Upazila Health Complex , Kushtia",4,"Jhikargacha Upazila Health Complex , Jessore"
,Narail,5,"Keshabpur Upazila Health Complex , Jessore"
1,"Kalia Upazila Health Complex , Narail",6,"Monirampur Upazila Health Complex , Jessore"
2,"Lohagara Upazila Health Complex , Narail",7,"Sarsa Upazila Health Complex , Jessore"
Barisal Division,,,
,Barisal,,Jhalkathi
1,"Agailjhara Upazila Health Complex , Barisal",3,"Rajapur Upazila Health Complex , Jhalkathi"
2,"Babuganj Upazila Health Complex , Barisal",,Bhola
3,"Bakerganj Upazila Health Complex , Barisal",1,"Borhanuddin Upazila Health Complex , Bhola"
4,"Banaripara Upazila Health Complex , Barisal",2,"Charfession Upazila Health Complex , Bhola"
5,"Gournadi Upazila Health Complex , Barisal",3,"Daulatkhan Upazila Health Complex , Bhola"
6,"Hijla Upazila Health Complex , Barisal",4,"Lalmohan Upazila Health Complex , Bhola"
7,"Mehendiganj Upazila Health Complex , Barisal",5,"Manpura Upazila Health Complex , Bhola"
8,"Muladi Upazila Health Complex , Barisal",6,"Tajumuddin Upazila Health Complex , Bhola"
9,"Wazirpur Upazila Health Complex , Barisal",,Patuakhali
,Pirojpur,1,"Bauphal Upazila Health Complex , Patuakhali"
1,"Bhandaria Upazila Health Complex , Pirojpur",2,"Dashmina Upazila Health Complex , Patuakhali"
2,"Kawkhali Upazila Health Complex , Pirojpur",3,"Galachipa Upazila Health Complex , Patuakhali"
3,"Mathbaria Upazila Health Complex , Pirojpur",4,"Kalapara Upazila Health Complex , Patuakhali"
4,"Nasarabad Upazila Health Complex , Pirojpur",5,"Mirzaganj Upazila Health Complex , Patuakhali"
5,"Nazirpur Upazila Health Complex , Pirojpur",,Barguna
6,"Zia Nagar Upazila Health Complex , Pirojpur",1,"Amtali Upazila Health Complex , Barguna"
,Jhalkathi,2,"Bamna Upazila Health Complex , Barguna"
1,"Kathalia(amua) Upazila Health Complex , Jhalkathi",3,"Betagi Upzila Health Complex , Barguna"
2,"Nalchithi Upazila Health Complex , Jhalkathi",4,"Pathargatha Upazila Health Complex , Barguna"
Sylhet Division,,,
,Sylhet,2,"Beanibazar Upazila Health Complex , Sylhet"
