0,1,2,3
Sl.,,Date of,Allotment
,Name of the Institute & address,,
No.,,approval,of seats
,,,
1,"Bangladesh Medical College, Road #14/A, Dhanmondi, Dhaka-1205.",13/04/1985,100
2,"Samaj Vitik Medical College, Savar, Ganasastha Centre, Dhaka.",23/10/1989,50
3,"Institute of Applied Health Science, Foyaze lake, Chittagong.",11/01/1990,100
4,"Z.H. Sikder Womens Medical College, Monika Street, Rayar Bazar, West
Dhanmondi, Dhaka.",05/08/1992,100
5,"Zohurul Islam Medical College, Bhagulpur, Bajitpur, Kishoreganj",11/04/1992,60
6,"Medical College For Women and Hospital, Road #8/9, Sector-1, Uttara Model
Town, Dhaka.",05/08/1992,68
7,"Dhaka National Medical College, 53/1, Jonshon Road, Dhaka.",31/05/1995,100
8,"Community Based Medical College, Unnerpara, P.O. Chorkhai, Mymensingh.",15/08/1995,85
9,"Jalalabad Ragib Rabeya Medical College, Sunamgonj, Sylhet.",27/05/1996,100
10,"Moulana Basani Medical College, Plot #1C, Road #19, Sector #11, Uttara,
Dhaka.",31/08/1998,80
11,"North East Medical College,Telehower, Sylhet.",31/08/1998,50
12,"Holly Family Red Cresent Medical College, Eskaton Garden, Dhaka.",09/05/2000,100
13,"North Bengal Medical College, JC Road, Dhanbondi, Serajgonj.",25/06/2000,40
14,"International Medical College, Ghosalia Satashi Bazar, Gazipur.",25/06/2000,50
15,"Kumudini Medical College, Mirzapur, Tangail.",20/03/2001,75
16,"Taherun Nesa Medical College, Kunia, Taragaj, Gazipur.",04/09/2001,50
17,"Ibrahim Medical College, Ibrahim Sarani, Segunbagicha, Dhaka.",18/03/2002,60
18,"BGC Trust Medical College, Kanchan Nagar, Chandanaish, Chittagong.",28/03/2002,50
19,"Sahabuddin Medical College, Road #1113/A, Plot #12, Gulshan Model Town,
Dhaka.",14/05/2003,100
20,"Enam Medical College, Parbatinagar Thana Road, Savar, Dhaka",01/12/2003,50
21,"Islami Bank Medical College, Rajshahi.",09/03/2004,50
22,"East West Medical College, House #6,Road #13, Sectoer #3, Uttara, Dhaka.",14/11/2004,50
23,"Eastern Medical College, Rais Course Pradan Sarak, Comilla.",14/05/2005,50
24,"Khaja Younus Ali Medical College, Enayetpur, Serajgonj.",07/04/2005,50
25,"Central Medical college, Laksham Road, Comilla.",07/04/2005,50
26,"Ibne Sina Medical College, House # 47, Road #9/A, Satmasjid Road Residential
Area, Dhanmondi, Dhaka.",14/05/2005,50
Total,,,1768
