0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
,".oN
.lS",,,"snoitutitsnI
fo
leveL",,,".latipsoh
fo
.oN",Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ecnadnetta
roodtuO",
,,,,,,,,,"eht
fo
sdeb
fo
.oN",slatipsoh,,,"stneitap
fo
.oN",dettimdA,,,"stneitap
fo
.oN",deid,,,"stneitap
fo
.oN",egrahcsid,,,"tneitap
fo
.oN",syad,,"ycnapucco
deB",")%(
etar",,"htaed
latipsoH",")%(
etar",,egarevA,"yats
fo
noitarud",,,
1,,,Post Graduate hospital,,,3,,850,,,,36220,,,,1776,,,,35207,,,,292441,,,,94.36,,5.04,,,,8,,229039,,
2,,,"Medical College
Hospital",,,8,,3400,,,,218483,,,,10420,,,,25724,,,,1284336,,,,103.49,,5.94,,,,5.94,,1457579,,
3,,,Mental Hospital,,,1,,400,,,,1188,,,,0,,,,864,,,,137232,,,,93.99,,0.00,,,,159,,33396,,
4,,,"Institute of Mental
Health",,,1,,150,,,,428,,,,0,,,,379,,,,8575,,,,15.66,,0.00,,,,23,,7113,,
5,,,"Chest Clinics & Chest
Hospital",,,4,,406,,,,2157,,,,61,,,,2020,,,,117761,,,,79.47,,3.02,,,,58,,,,
6,,,"Chest Clinics & Chest
Hospital",,,4,,80,,,,392,,,,16,,,,326,,,,18270,,,,62.57,,4.91,,,,56,,,,
7,,,Leprosy Hospital,,,3,,130,,,,524,,,,5,,,,439,,,,26121,,,,55.05,,0.98,,,,60,,7173,,
8,,,"Infectious Disease
Hospital",,,3,,60,,,,6278,,,,145,,,,6042,,,,15938,,,,72.78,,2.40,,,,3,,,,
9,,,"250-beded District
Hospital",,,1,,250,,,,15882,,,,1098,,,,17292,,,,101100,,,,110.79,,6.35,,,,6,,68028,,
10,,,"150-beded District
Hospital",,,3,,450,,,,25899,,,,1022,,,,24702,,,,122029,,,,74.29,,4.14,,,,5,,167385,,
11,,,"100-beded District
Hospital",,,20,,2000,,,,192201,,,,6025,,,,183255,,,,779883,,,,106.83,,5.27,,,,4,,1580759,,
12,,,"50-beded District
Hospital",,,15,,775,,,,81068,,,,2168,,,,78293,,,,278054,,,,98.30,,2.77,,,,4,,739796,,
13,,,"Upazila Health
Complex",,,220,,6620,,,,895200,,,,9420,,,,661420,,,,2036700,,,,81.82,,1.62,,,,2,,13438400,,
14,,,School health clinic,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131585,,
15,,,Union Sub Center,,,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12592206,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29562747,,
