0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Trauma center,,,Secondary,,,,,,8,,,160,,
Other hospitals,,,Secondary,,,"Narayanganj 300-bed
Hospital",,,1,,,300,,
,,,,,,"Narsingdi 100-bed
Hospital",,,1,,,100,,
,,,,,,"Shaheed Ahsan Ullah
Master General Hospital,
Tongi, Gazipur",,,1,,,250,,
,,,,,,"Bangladesh - Korea
Moitree Hospital, Savar,
Dhaka",,,1,,,30,,
,,,,,,"Kuwait - Bangladesh
Friendship Govt.
Hospital, Uttara, Dhaka",,,1,,,100,,
,,,,,,"Saidpur 100-bed
Hospital, Nilphamari",,,1,,,100,,
,Subtotal - Secondary Level,,Secondary,,,,,,206,,,16016,,
,Hospitals,,,,,,,,,,,,,
"Division - level office
(Divisional Health Office)",,,Tertiary,,,,,,8,,,0,,
Dental college hospital,,,Tertiary,,,,,,1,,,200,,
"Hospital of alternative
medicine",,,Tertiary,,,,,,3,,,200,,
Medical college hospital,,,Tertiary,,,,,,34,,,25150,,
Specialized Health Center,,,Tertiary,,,"Central Skin & Social
Hygiene Center,
Chattogram",,,1,,,0,,
,,,,,,"National Center for
Control of Rheumatic
Fever & Heart Disease",,,1,,,0,,
,,,,,,National Asthma Center,,,1,,,70,,
Specialized hospital,,,Tertiary,,,,,,4,,,1100,,
"Specialty postgraduate
institute and hospital",,,Tertiary,,,,,,12,,,6220,,
Other hospitals,,,Tertiary,,,"Kurmitola 500-bed
General Hospital, Dhaka",,,1,,,500,,
,,,,,,"Mugda 500-bed General
Hospital, Dhaka",,,1,,,500,,
,Total tertiary-level facilities,,,Tertiary,,,,,,67,,,33940,
,Total secondary and,,,,,,,,273,,,49956,,
,tertiary-level facilities,,,,,,,,,,,,,
