0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50+y,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
Glomerulonephritis,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Gonorrhea,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,3
Head injury,0,0,0,0,0,0,0,0,10,14,38,48,100,84,148,146
Heart failure,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2
Hepatic failure,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Hepatitis,0,0,0,0,0,0,0,0,1,2,0,76,0,0,1,78
Hernia,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
Hydrocephalous,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
Hypertension,0,0,0,0,0,0,2,3,4,1,38,120,32,32,76,156
Hyperthyroidism,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Hypothyroidism,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,62
Infective endocarditis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Kala-azar,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,3
Leprosy,0,0,0,0,0,0,1,0,1,0,2,1,1,2,5,3
Leukemia,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,2
Liver abscess,0,0,0,0,0,0,0,0,2,2,16,4,13,9,31,15
Lymphoma,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0
"Malaria
(vivax/falciparum)",0,0,0,0,1,1,5,3,0,0,0,0,0,0,6,4
Measles,0,0,2,1,4,3,0,0,0,0,0,0,0,0,6,4
Meningitis,0,0,0,0,0,0,0,0,30,18,41,20,32,18,103,56
Mumps,0,0,0,0,0,0,7,5,0,0,0,0,0,0,7,5
Myocardial infarction,0,0,0,0,0,0,0,0,12,2,144,74,308,180,464,256
Nasal polyp,0,0,0,0,0,0,0,0,0,0,32,20,42,29,74,49
Nephrotic syndrome,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2
Obstructed labor,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Osteomyelitis,0,0,0,0,0,0,0,0,26,19,14,17,10,9,67,58
Osteosarcoma,0,0,0,0,0,0,0,0,1,2,3,4,0,0,7,10
Ovarian tumor,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,51
Pancreatitis,0,0,0,0,0,0,0,0,5,6,3,3,8,0,0,9
Pelvic infectious disease,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,112
Peptic ulcer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Perforation (GI Tract),0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2
Peripheral vascular disease,0,0,0,0,0,0,0,0,3,5,14,6,15,11,0,23
PPH,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,117
Prostatic tumor,0,0,0,0,0,0,0,0,50,0,15,0,0,0,65,0
Rectal prolapse,0,0,0,0,0,0,0,0,0,0,5,7,0,0,5,7
Renal failure,0,0,0,0,0,0,0,0,20,0,24,2,0,0,44,2
Retinal problem,0,0,0,0,0,0,0,0,60,0,62,12,0,0,122,12
Rheumatic fever,0,0,0,0,0,0,2,4,3,1,0,0,0,0,5,5
Rickets,0,0,1,2,8,12,16,14,6,8,0,0,0,0,31,36
Road-traffic accident,0,0,0,0,0,0,2,6,12,10,32,10,8,4,54,30
Schizophrenia,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Spinal cord injury,0,0,0,0,0,0,0,0,13,10,20,7,22,9,55,26
Syphilis,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
Thalassemia,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,7
Tuberculosis (Extra-pulmonary),0,0,0,1,6,7,8,12,26,18,42,29,50,29,132,96
Urethritis,0,0,0,0,3,0,0,12,0,0,0,0,0,0,3,12
Urinary stone disease,0,0,0,0,0,0,10,5,16,19,18,5,12,5,56,34
Urinary tract infection,0,0,0,0,0,0,0,0,35,10,37,25,22,12,94,47
Valvular heart disease,0,0,0,0,0,0,0,0,31,28,25,41,22,26,70,95
Others,0,0,0,0,0,0,6,4,105,52,115,130,65,75,291,261
