0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50+y,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
Abortion,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,36
AIDS/HIV,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Allergic reaction,0,0,0,0,1,1,2,3,1,2,0,0,0,0,6,4
Anemia,0,0,20,30,5,0,8,10,15,20,2,4,1,3,51,67
Anal fistula,0,0,0,0,0,0,0,0,25,37,196,116,234,158,455,311
APH,0,0,0,0,0,0,0,0,0,0,0,53,0,4,0,57
Appendicitis,0,0,0,0,0,0,2,0,7,5,4,3,11,4,24,12
Arsenicosis,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,3
Arthritis,0,0,3,6,10,58,32,60,8,10,20,25,200,225,273,384
Assault,0,0,0,1,1,4,2,5,8,6,12,30,2,3,25,49
Bacillary dysentery,0,0,40,30,20,60,30,40,0,0,0,0,0,0,90,130
Bone tumor,0,0,0,0,0,1,10,13,8,10,12,8,10,10,40,42
Brain tumor,0,0,0,0,0,0,0,0,5,2,4,1,13,9,22,12
Bronchial asthma,0,0,0,0,1,0,0,0,0,0,0,26,0,0,1,26
Bronchiectasis,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3
Bronchiolitis,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3
Ca- Cervix,0,0,0,0,0,0,0,0,0,28,0,152,0,27,0,207
Ca-Bladder,0,0,0,0,0,0,0,0,13,3,15,6,34,12,62,21
Ca-Breast,0,0,0,0,0,0,0,0,0,29,0,40,0,24,0,93
Ca-Colon,0,0,0,0,0,0,0,0,15,9,13,11,14,8,42,28
Ca-Gall bladder,0,0,0,0,0,0,0,0,6,12,4,9,8,11,18,32
Ca-Kidney,0,0,0,0,3,4,2,1,0,0,7,3,27,13,39,21
Ca-Larynx,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Ca-Liver,0,0,1,1,3,0,0,1,0,0,0,0,0,0,4,2
Ca-Lungs,0,0,0,0,0,0,0,0,3,1,7,4,3,2,13,7
Ca-Esophagus,0,0,0,0,0,0,0,0,0,0,6,3,4,4,10,7
Ca-Pancreas,0,0,0,0,0,0,0,0,9,7,6,6,18,15,33,28
Ca-Prostate,0,0,0,0,0,0,0,0,0,0,37,0,58,0,95,0
Ca-Rectum and anal canal,0,0,0,0,0,0,1,0,15,13,20,16,24,19,60,48
Ca-Scrotum,0,0,0,0,0,0,0,0,0,0,15,5,18,0,33,5
Ca-Stomach,0,0,0,0,0,0,0,0,13,10,14,8,13,11,40,29
Cataract,0,0,0,0,0,0,3,3,2,2,0,0,0,0,5,5
Ca-Thyroid,0,0,0,0,0,0,0,0,0,0,13,6,13,9,26,15
Cholecystitis,0,0,0,0,0,0,5,2,8,18,10,14,8,20,31,54
Cholilithiasis,0,0,0,0,0,0,0,0,29,59,57,72,44,98,121,199
Congenital heart disease,12,12,16,18,38,29,48,44,49,60,54,133,32,36,249,332
COPD,0,0,0,0,0,0,1,1,35,15,95,68,585,108,716,192
CVA,0,0,0,0,0,0,0,0,13,6,69,43,199,98,281,147
Dengue,0,0,0,0,0,0,0,0,2,3,10,8,0,0,12,11
Diabetes mellitus,0,0,0,0,0,0,0,0,1,2,,149,0,0,1,151
Diarrhea,0,0,0,0,4,6,0,0,0,0,0,0,0,0,4,6
Disc prolapse,0,0,0,0,0,0,0,0,2,1,40,52,24,15,66,68
Drug reaction,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2
Dysentery,0,0,3,2,7,3,0,0,0,0,0,0,0,0,10,5
Ectopic pregnancy,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
Electric shock,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Emphysema,0,0,0,1,1,1,1,1,0,0,0,0,0,0,3,2
Enteric fever,0,0,4,6,10,5,5,5,0,0,0,1,0,0,19,16
Epilepsy,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Fibroid,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,45
Filariasis,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
Food poisoning,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0
Fracture,0,1,1,2,53,46,91,42,180,134,315,99,70,59,710,383
Fungal infections,0,0,0,0,0,0,3,2,6,4,0,0,0,0,9,6
Gangrene,0,0,0,0,0,0,0,0,2,1,2,3,1,0,5,4
Glaucoma,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
