0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50+y,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
Assault,0,0,0,0,1,0,23,1,222,15,479,32,80,9,805,57
Bone tumor,0,0,0,0,0,0,0,0,1,1,3,1,0,1,4,3
Burn (Others),0,0,3,0,8,11,21,10,24,12,37,2,8,1,101,36
Disc prolapse,0,0,0,0,3,0,7,6,8,1,22,8,5,3,45,18
Fracture,1,0,0,1,19,11,126,60,136,43,337,139,163,116,782,370
Gangrene,0,0,0,0,0,0,4,1,13,1,30,9,28,2,75,13
Osteomyelitis,0,0,0,0,3,0,6,1,3,2,8,1,1,0,21,4
Osteosarcoma,0,0,0,0,0,0,6,1,5,0,5,0,1,0,17,1
Poliomyelitis,0,0,0,0,0,0,1,2,2,0,1,1,0,0,4,3
Rickets,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0
Road-traffic accident,1,1,5,9,117,54,844,272,1417,326,2970,676,1098,340,6452,1678
Spinal cord injury,0,0,0,1,1,3,26,8,64,13,157,41,65,19,313,85
"Tuberculosis (Extra-
pulmonary)",0,0,0,0,0,0,10,0,13,7,38,12,19,8,80,27
Other,2,4,33,34,356,244,1626,583,1692,472,2338,693,958,703,7005,2733
