0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50y+,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
Schizophrenia,10,10,4,0,0,0,0,0,11,11,9,17,0,6,34,44
Septicemia,0,0,0,0,0,0,0,0,668,482,1731,1437,322,335,2721,2254
Spinal cord injury,0,0,0,0,0,0,5,1,44,49,76,73,86,92,211,215
Suppurative otitis media,0,0,21,25,59,21,24,5,15,14,49,112,46,18,214,195
Syphilis,0,0,0,0,5,3,0,0,0,0,59,85,124,145,188,233
Tetanus,126,111,5,3,7,7,26,20,19,53,41,31,43,6,267,231
Thalassemia,1,2,124,141,678,615,1039,739,315,231,222,262,78,116,2457,2106
Tonsillitis,75,62,6,16,45,48,146,157,156,136,116,151,67,37,611,607
"Tuberculosis (Extra-
pulmonary)",0,0,0,0,6,2,26,39,47,93,342,230,476,211,897,575
Tuberculosis (Pulmonary),0,0,0,0,6,5,18,18,130,146,207,173,358,180,719,522
Urethritis,0,0,0,0,0,0,0,0,47,53,69,66,77,87,193,206
Urinary stone disease,0,0,0,0,0,0,0,0,137,187,188,162,214,220,539,569
Urinary tract infection,0,0,0,0,0,0,0,0,460,1231,1136,1884,1203,1407,2799,4522
Valvular heart disease,0,0,1,0,1,0,38,17,93,47,406,149,338,150,877,363
Viral fever,156,153,666,553,1105,971,1077,799,1319,1384,1965,1439,1233,1098,7521,6397
Whooping cough,0,0,31,35,56,59,35,197,55,265,78,295,120,131,375,982
"Worm infestation
(Intestinal)",0,0,80,153,459,688,739,984,415,779,294,652,176,416,2163,3672
Others,11701,8579,9357,8365,10337,10681,17598,20010,21467,35686,39765,56810,29773,34297,139998,174428
"* Although in Chapter 7, consolidated data of 57 district level hospitals are given, the detailed age-wise data of 54 hospitals are available.",,,,,,,,,,,,,,,,
