0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50y+,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
Enteric fever,131,137,268,238,877,809,1349,1201,1370,1337,2495,2627,1364,1399,7854,7748
Epilepsy,6,15,36,48,93,69,95,96,58,89,51,55,88,70,427,442
Fibroid,0,0,0,0,0,0,0,0,0,167,0,299,0,253,0,719
Filariasis,0,0,0,0,1,2,2,0,0,0,1,0,1,0,5,2
Food poisoning,0,0,20,19,238,223,450,324,669,648,1061,577,731,531,3169,2322
Fracture,2,2,124,223,264,406,694,685,1083,1136,2302,1517,1019,725,5488,4694
Fungal infections,52,21,109,91,89,631,373,126,427,336,190,146,94,109,1334,1460
Gangreen,0,0,0,0,1,1,37,11,30,24,125,32,134,53,327,121
Glaucoma,0,0,0,0,0,0,16,0,0,1,20,14,57,45,93,60
Glomerulonephritis,3,2,6,12,63,68,106,68,22,37,15,18,5,9,220,214
Gonorrhoea,0,0,0,0,0,0,3,1,8,8,15,1711,27,43,53,1763
Haemolytic jaundice,37,12,125,124,121,134,134,137,160,141,169,171,142,155,888,874
Haemorrhoids (Piles),0,0,0,0,1,0,2,2,106,122,271,195,207,190,587,509
Head injury,0,1,14,8,116,164,471,512,1453,686,1724,978,1061,724,4839,3073
Heart failure,0,0,0,0,0,0,0,0,373,272,831,542,1267,994,2471,1808
Hepatic failure,0,0,0,0,0,0,0,0,33,82,65,66,76,84,174,232
Hepatitis,0,0,4,5,1,1,2,1,381,353,780,689,617,561,1785,1610
Hernia,0,0,1,2,54,25,143,32,362,129,790,188,675,224,2025,600
Hydrocephalous,0,0,0,0,1,1,2,3,4,5,11,1,0,0,18,10
Hydrocyle,0,0,0,0,0,0,0,0,64,37,246,59,255,32,565,128
Hydronephrosis,0,0,0,0,0,0,0,0,0,9,9,16,7,1,16,26
Hypercholesteremia,0,0,0,0,0,0,0,0,20,30,85,33,46,198,151,261
Hypertension,0,0,0,0,0,0,0,0,600,956,2642,3888,4603,4290,7845,9134
Hyperthyroidism,0,0,0,0,0,0,0,0,155,194,176,190,181,176,512,560
Hypertophid prostate,0,0,0,0,0,0,0,0,0,0,4,0,25,0,29,0
Hypothyroidism,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
Infective endocarditis,0,0,0,0,0,0,0,0,1,2,5,4,17,7,23,13
Intestinal obstruction,2,3,5,12,33,47,253,68,199,503,1351,518,661,572,2504,1723
Kala-azar,0,0,0,0,16,10,17,14,20,11,40,20,7,5,100,60
Leprosy,0,0,0,0,1,0,0,1,0,75,96,99,120,101,217,276
Leukemia,0,1,1,0,114,117,147,132,165,162,25,42,7,13,459,467
Liver absess,0,0,1,0,4,2,26,20,94,99,150,64,109,75,384,260
Lymphoma,0,0,0,0,0,0,2,7,113,138,132,116,144,136,391,397
Lymphosarcoma,0,0,0,0,0,2,0,3,0,23,0,4,0,0,0,32
Malaria(Vivax/Falciparum),0,1,6,4,21,13,64,56,103,73,170,110,97,77,461,334
Mastoiditis,0,0,29,50,28,60,30,0,0,1,6,0,3,7,96,118
Measles,27,13,51,150,178,116,80,98,37,17,28,63,92,52,493,509
Meningitis,31,35,179,172,188,166,215,164,97,242,93,118,101,128,904,1025
