0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
"Sl.
No",.,,,0-11 Month,,,,,,1- 4 Year,,,,,,5-14 Year,,,,,,15- 49 Year,,,,,,50+ Yea r,,,,,,Sub-Total,,,,,,,,"% of
Tota l",,
,,Diseases,,,M,,,F,,,M,,,F,,,M,,,F,,,M,,,F,,,M,,,F,,,M,,,F,,Total,,,,
22,,Heart Att ack,,0,,,0,,,0,,,0,,,149 0,,,1410,,,8305,,,7295,,,1017 5,,,6935,,,19970,,,15640,,,35610,,0.0 7,,
23,,"Night
Blindness",,0,,,0,,,100 5,,,122 0,,,235 0,,,2685,,,2040,,,2465,,,2390,,,2620,,,778 5,,,8990,,,1677 5,,0.0 3,,
24,,Chicken Pox,,19 0,,,23 0,,,54 5,,,64 5,,,130 5,,,1390,,,1455,,,1800,,,95 0,,,1040,,,4445,,,5105,,,955 0,,0.0 2,,
25,,Kala-azar,,15,,,10,,,41 5,,,35 5,,,150 0,,,1265,,,2445,,,1815,,,87 0,,,39 5,,,5245,,,3840,,,9085,,0.0 2,,
26,,Goite r,,85,,,10 5,,,20 5,,,23 0,,,62 0,,,88 0,,,86 5,,,1380,,,81 0,,,1175,,,2585,,,3770,,,6355,,0.0 1,,
27,,Measl es,,36 0,,,39 5,,,41 0,,,47 5,,,56 0,,,56 5,,,50 5,,,61 5,,,44 0,,,51 0,,,2275,,,2560,,,4835,,0.0 1,,
28,,Filarias is,,15,,,20,,,19 0,,,21 5,,,32 5,,,47 0,,,63 0,,,131 5,,,56 0,,,53 5,,,1720,,,2555,,,4275,,0.0 1,,
29,,Cance r,,50,,,35,,,80,,,95,,,20 5,,,19 0,,,70 5,,,74 0,,,83 5,,,46 0,,,1875,,,1520,,,3395,,0.0 1,,
30,,"Acute Flaccid
Paralys is",,35,,,15,,,27 0,,,27 5,,,24 0,,,23 5,,,33 5,,,55 5,,,28 5,,,40 0,,,1165,,,1480,,,2645,,0.0 1,,
31,,Lepro sy,,0,,,0,,,20,,,45,,,13 0,,,23 0,,,64 0,,,63 5,,,26 5,,,32 5,,,1055,,,1235,,,2290,,0.0 0,,
32,,Tetanu s,,5,,,4,,,5,,,7,,,9,,,5,,,12 5,,,12 0,,,30,,,25,,,17 4,,,16 1,,,33 5,,0.0 0,,
33,,"Whooping
Cough",,0,,,0,,,5,,,5,,,10,,,5,,,15,,,95,,,10,,,85,,,40,,,19 0,,,23 0,,0.0 0,,
34,,Other s,,20764 0,,,251470,,,38047 0,,,43657 5,,,62189 5,,,69422 5,,,122247 0,,,145914 0,,,83045 5,,,89635 5,,,326293 0,,,373776 5,,,700069 5,,13.9 1,,
,,,,,,,,,,,,,,,,,,,,,,,,,11,,0,,,,,,,2,,4,2,,1,5,0315 685,,,
Grand Total,,,,1,232890,,1,364554,,2,79677,0,3,07624,2,4,513629,,5,100285,,8,394730,,,,,5,81580,5,6,799210,,,,,,,,,,,100.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,221 57,,,,,,,,,275382,,,756186,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
