0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,,No. of,,,OPD / Emergency,,,,,,Admissions,,,,,,Deaths,,,,,,
,,,,facilities,,,,,,,,,,,,,,,,,,,,,
,Type of hospital,,,,,,,,,,,,,,,,,,,,,,,% of,
,,,,provided,,,No.,,,Average,,,No.,,,Average,,,No.,,Average,,,,
,,,,,,,,,,,,,,,,,,,,,,,,admission,
,,,,data,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Postgraduate
Institute
Hospitals",,,6,,,"344,184",,,"57,364",,,"155,931",,,"25,989",,,"4,178",,996,,,2.7%,,
"Medical College
Hospitals",,,12,,,"181,794",,,"15,150",,,"109,210",,,"9,101",,,914,,76,,,0.8%,,
"General
Hospitals",,,6,,,"626,302",,,"104,384",,,"133,319",,,"22,220",,,"1,548",,258,,,1.2%,,
"District/
Secondary
Hospitals and
below",,,64 districts,,,"60.0
million",,,"937,957",,,"4.9
million",,,"6,895",,,"100,000",,"1,718",,,2.7%,,
,Total=,,,,,,"61,181,557",,,,,,"5,319,743",,,,,,"116,610",,,,,2.2%,
