0,1,2,3
"Post-natal care (PNC) visits in non-
institutional deliveries: 13%",,,
,Health Economy [BNHA 2020],,
"MOHFW Budget as % of national budget:
5.42%",,,
"Current health expenditure in 2020 (% of
GDP): 2.8%",,,
"Out of pocket expenditure (Household):
68.5% of THE",,,
"Per capita total health expenditure
(USD): 54",,,
,Health Workforce [DGHS],,
,No. of registered Physician [BMDC],,
"MBBS
BDS
Post Graduate Doctor",,"1,24,849
13,246
22,945",
"Population per registered
Physician",,"1,230",
No. of registered Nurse,,"84,804",
"Population per registered
Nurse",,"2,000",
"No. of government
medical technologist",,"5,508",
,Health Services and Medical Education,,
,"[DGHS, BMDC, BNMC]",,
Total hospital beds,,"1,71,635",
"Hospital bed – population
ratio",,1:990.1,
No. of medical colleges,,109,
"No. of dental colleges/
unit",,35,
Medical Universities,,5,
"Post-graduate medical
teaching institutes",,39,
