0,1,2,3
,Primary Health Care,,
,Contraceptive Method Usage,,
,"[SVRS, BBS 2022]",,
"National
Rural
Urban",,"63.8
63.5
63.9",
,Contraceptive method user rate (%),,
,"[SVRS, BBS 2022]",,
"Modern method
Traditional method",,"62.8
1.0",
,Category-wise user rate (%),,
,"[BDHS, BBS 2022]",,
"Total demand for family
planning
Unmet need for family planning",,"74
10",
,The percentage of women with antenatal,,
,"care (ANC) visits [BDHS, BBS 2022]",,
"At least one ANC
Four or more ANC
Receiving quality ANC",,"88
41
21",
,Percentage of Skilled Birth Attendant,,
,attended in Delivery: 70%,,
,"[BDHS, BBS 2022]",,
"By a qualified Doctor
Nurse/ Midwife/ Paramedic
CSBA/ FWV/ MA",,"56
13
1",
,Type of deliveries (percent),,
,"[SVRS, BBS 2022]",,
"Normal
Operation",,"58.5
41.4",
,Place of deliveries (percent),,
,"[SVRS, BBS 2022]",,
"Home
Govt. facility",,"42.4
23.8",
,The percentage of women with post-natal,,
,"care (PNC) visits [BDHS, BBS 2022]",,
Within 48 hours,,55.2,
Within 3 to 42 days,,5.6,
"Private facility
NGO
Others",,"33.0
0.7
0.1",
