0,1,2,3
"Table 5.14. Number of nursing institutions, along with numbers of seats, offering different types
of nursing degrees (June 2017)",,,
Course,Ownership,No.,No. of seats
Basic BSc,Government,15,"1,135"
,Private,45,"2,185"
,Sub-total,60,"3,320"
Post-BSc/Public Health Nursing,Government,4,400
,Private,37,"1,475"
,Sub-total,41,"1,875"
Specialized Diploma,Government,1,20
,Private,3,60
,Sub-total,4,80
Diploma in Nursing & Midwifery,Government,43,"2,580"
,Private,140,50
,Sub-Total,183,"2,630"
,Total,288,"7,905"
