0,1,2,3
"Table10.7. Capacity-building through training (2014, 2015, and 2016)",,,
Personnel trained,"Number of
trainees in
2014","Number of
trainees in
2015","Number of
trainees in
2016"
Medical Officer,428,473,563
Senior Staff Nurse,343,348,458
Lab Technician,49,13,69
Store-keeper,89,-,0
Statistician,49,50,156
"Health Inspector, Assistant Health Inspector and
Health Assistant",511,191,"2,067"
Community Health Service Provider (CHCP),180,"2,080","2,080"
"Informal healthcare provider and qualified private
doctor",560,600,"15,050"
Kala-azar Search Volunteer (KSV),712,-,-
NGO health professional,-,-,308
"Sensitization of head teachers of high schools for
community mobilization through school children",-,-,"1,528"
Total,"3,009","3,755","22,259"
