0,1,2,3
Table 9.8. Various implementation monitoring tools of the 4th HPNSP,,,
"Sl.
No.",M&E tool,Responsibility,Frequency
1.,Annual Development Program (ADP),MOHW,Monthly
2.,Six-monthly Progress Report (SmPR),PMMU/PW,Six-monthly
3.,"Mandated Implementation Reports to
Implementation Monitoring and Evaluation
Division (IMED) in Form 3 and 4",PW,"Monthly (Form 5)
Quarterly (Form 3)"
4.,Review of Prioritized Action Pan (PAP),PW,Six monthly
5.,Review and Update RFW and OP-level Indicators,PW,Periodically
6.,Annual Program Implementation Report (APIR),PMMU/ PW,Annually
7.,Review of DLIs,"PMMU/FMAU/PW/
World Bank","Six-monthly/
Annually"
8.,Annual Program Review (APR),"Jointly by MOHFW
and DPs",Annually
9.,OP Review,OPIC,Periodically
10.,National ADP Review,"National Economic
Council (NEC)",Quarterly
11.,National Representative Sample Surveys,BBS,Periodically
12.,Endline Evaluation of Sector Program,IMED/,Once
13.,"Program Completion Report (PCR) to Planning
Commission",PW,Once
