0,1,2,3
Name of post,Sanctioned (No.),Filled-up (No.),Vacant (No.)
Director General,1,1,0
Addl. Director General/OSD/equivalent,5,3,2
Director/Principal/Vice Principal/OSD/equivalent*,128,206,-78
Deputy Director/OSD/equivalent*,149,474,-325
Assistant Director/Civil Surgeon/OSD/equivalent*,262,480,-218
Deputy Civil Surgeon/UHFPO/OSD/equivalent*,1076,3093,-2017
Professor,809,286,523
Associate Professor,1396,663,733
Asstt. Professor,2331,1312,1019
Senior Consultant,717,316,401
Junior Consultant,4120,1198,2922
Senior Lecturer,8,4,4
Junior Lecturer,32,30,2
Other Posts (Pay Scale 7th + 8th),580,489,91
Assistant Surgeon/OSD/equivalent,20882,18093,2789
Total,32496,26648,5848
