0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Disease,,,Unit,,,Barisal,,,Chittagong,,,Dhaka,,,Khulna,,,Rajshahi,,Rangpur,,,Sylhet,,,Total,,
,,,,No.,,,"2,437",,,"14,554",,,"24,359",,,"2,322",,"26,987",,,"7,928",,,"16,547",,,"95,134",
,Very Severe,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Disease,,,%,,,2.6%,,,15.3%,,,25.6%,,,2.4%,,28.4%,,,8.3%,,,17.4%,,,100.0%,
,,,,No.,,,"4,942",,,"38,118",,,"60,233",,,"3,823",,"35,079",,,"19,534",,,"33,026",,,"194,755",
,Pneumonia,,,%,,,2.5%,,,19.6%,,,30.9%,,,2.0%,,18.0%,,,10.0%,,,17.0%,,,100.0%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,No.,,,"35,097",,,"62,085",,,"158,845",,,"19,511",,"85,730",,,"61,231",,,"47,589",,,"470,088",
,No Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cough & Cold,,,%,,,7.5%,,,13.2%,,,33.8%,,,4.2%,,18.2%,,,13.0%,,,10.1%,,,100.0%,
,,,,No.,,,"16,588",,,"46,019",,,"67,829",,,"10,060",,"46,878",,,"39,171",,,"43,142",,,"269,687",
,Diarrhea,,,%,,,6.2%,,,17.1%,,,25.2%,,,3.7%,,17.4%,,,14.5%,,,16.0%,,,100.0%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,No.,,,168,,,"1,802",,,"2,411",,,367,,"3,443",,,"3,789",,,"4,462",,,"16,442",
,Fever-Malaria,,,%,,,1.0%,,,11.0%,,,14.7%,,,2.2%,,20.9%,,,23.0%,,,27.1%,,,100.0%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,No.,,,"24,483",,,"36,320",,,"110,064",,,"14,327",,"49,715",,,"29,779",,,"21,500",,,"286,188",
,Fever-No Malaria,,,%,,,8.6%,,,12.7%,,,38.5%,,,5.0%,,17.4%,,,10.4%,,,7.5%,,,100.0%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
