0,1,2,3
Share of hospital expenditure,,Share of ambulatory healthcare expenditure,
Type of health facility,Percentage,Type of health facility,Percentage
Private/NGO hospitals,54.5,General physicians,27.0
Hospitals at the upazila level and below,24.1,Den(cid:1)sts,0.9
District/General hospitals,8.7,Homeopaths,3.2
Medical college hospitals,5.2,Ayurvedic/Unani prac(cid:1)(cid:1)oners,2.4
Specialized hospitals,3.4,Family-planning centers,32.5
Hospitals under other ministries,3.1,All other outpa(cid:1)ent health centers,12.1
"University hospital and PG ins(cid:1)tute
hospitals",0.8,Medical and diagnos(cid:1)c centers,18.4
Government mental hospitals,0.2,Home-care providers,3.5
