0,1,2,3
Institute name,Allocation,Expenditure,"Utilization rate of
allocation (%)"
DGHS (central office),"6,164,475.00","5,999,459.00",97%
Divisional offices,"161,966.00","134,085.00",83%
Civil surgeon offices,"1,295,907.00","1,107,543.00",85%
Upazila health offices,"10,358,600.00","9,401,899.00",91%
District hospitals,"7,008,827.00","6,161,573.00",88%
Upazila health complexes,"15,772,212.00","13,333,560.00",85%
TB hospitals,"190,006.00","164,279.00",86%
TB centers,"299,755.00","243,474.00",81%
TB control and training institutes,"59,113.00","59,003.00",100%
Leprosy hospitals,"63,861.00","51,493.00",81%
School health centers,"73,005.00","51,245.00",70%
Model family planning clinics,"73,859.00","57,480.00",78%
Para medical institutes,"107,379.00","107,001.00",100%
Medical assistant training schools,"205,884.00","196,830.00",96%
Total,"41,834,849.00","37,068,924.00",89%
