0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Medical College Hospitals,,,,,,,,,,,,,
Rangpur,,650,34761,29779,64540,19272,115840,64713,199825,3,93.75,177,547,
Rajshahi,,650,43647,44635,88282,19272,234831,148483,580438,6,194.14,242,1590,
Barisal,,500,26395,25965,52360,105220,118353,118353,359588,7,200.19,143,985,
Mymensingh,,1000,44388,45638,90026,181052,174309,152152,550592,6,145.67,247,1508,
Sylhet,,900,48862,52236,101098,0,289942,300040,589982,4,130.78,277,1616,
Dinajpur,,250,14418,26016,40434,0,87846,65436,258864,5,194.01,111,709,
Faridpur,,250,10182,13806,23988,44454,39888,19246,103588,5,137.10,66,284,
,,,,,,,,,,,,,,
,General Hospitals,,,,,,,,,,,,,
SS Hospital,,375,4711,3900,8611,96852,96852,117747,311451,9,57.09,24,853,
Mental,,500,9912,252,10164,0,8556,11479,20035,123,84.37,28,55,
Tongi labour,,50,2836,2540,5376,28416,40178,36796,105390,6,91.89,15,289,
,,,,,,,,,,,,,,
,Chest Hospitals,,,,,,,,,,,,,
Rajshahi,,150,266,50,316,,,,0,62,35.31,1,0,
Khulna,,100,540,237,777,,,,0,44,78.54,2,0,
Sylhet,,56,290,74,364,,,,0,49,77.49,1,0,
Chittagong,,100,600,198,798,,,,0,78,122.48,2,0,
,,,,,,,,,,,,,,
Bogra,,20,164,42,206,,,,0,38,65.10,1,0,
Pabna,,20,48,9,57,,,,0,102,72.90,0,0,
Jessore,,20,12,6,18,,,,0,134,22.03,0,0,
Faridpur,,20,24,132,156,,,,0,34,88.44,0,0,
B. Baria,,20,48,60,108,,,,0,0,29.21,0,0,
,,,,,,,,,,,,,,
,Leprosy Hospitals,,,,,,,,,,,,,
Nilphamar i,,20,64,0,64,4810,5720,508,11038,46,36.82,0,30,
Sylhet,,80,300,50,350,2014,574,50,2638,48,56.35,1,7,
,,,,,,,,,,,,,,
,Infectious Disease Hospitals,,,,,,,,,,,,,
Rajshahi,,20,132,48,180,,,,0,20,46.11,0,0,
Khulna,,20,1135,1027,2162,,,,0,2,62.66,6,0,
Dhaka,,100,890,614,1504,17604,6528,12460,36592,0,33.99,4,100,
"Source: Respective Hospitals; Note: ALS- Average Length of Stay, BOR-Bed Occupancy Rate",,,,,,,,,,,,,,
