0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Bed Occupancy
Rate",Year 2001,,Year 2002,,Year 2003,,Year 2004,,Year 2005,,Year 2006,,Year 2007,
,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%
Below 40%,9,3.73,4,1.29,3,0.93,3,0.84,7,2.1,14,3.9,11,3.1
40.0–50.0,10,4.15,16,5.16,4,1.25,7,1.97,8,2.1,20,5.6,14,3.9
50.0–60.0,26,10.79,23,7.42,11,3.43,23,6.46,17,4.8,26,7.3,27,7.5
60.0–70.0,46,19.09,68,21.94,29,9.03,22,6.18,41,12.31,36,10.1,48,13.3
70.0–80.0,58,24.07,72,23.23,38,11.84,75,21.07,56,16.52,62,17.4,80,22.2
80.0–90.0,13,13.28,51,16.45,83,25.86,70,19.66,94,27.63,75,21.0,69,19.1
90.0–100.0,30,12.45,45,14.52,73,22.74,82,23.03,77,22.22,70,19.6,67,18.6
100.0–110.0,15,6.22,16,5.16,34,10.59,52,14.61,26,7.81,36,10.1,37,10.2
110.0-120.0,11,4.56,9,2.9,33,10.28,14,3.93,21,5.71,15,4.2,7,1.94
120.01-130.00,2,0.83,3,0.97,8,2.49,4,1.12,6,1.8,2,0.5,1,20.3
130.0–1 40.0,2,0.83,1,0.32,5,1.56,3,0.84,1,0.3,1,0.3,0,0.0
Above 140.0%,0,0,2,0.65,0,0,1,0.28,3,0.9,0,0.1,0,0.0
Total=,241,100,310,100,321,100,356,100,343,100,357,100.0,361,100.0
