0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
latoT,,,"723,6","949,65","834,023","041,46","533,121","911,14","999,8","400,7","322,3","514,02","995,61","109,141,6"
puorg-egA,"sraey
+05",elaM,763,"455,6","852,91","234,7","034,71","545,51","351,4","523,1",491,"889,4","155,1",584246
,,elameF,713,"503,6","682,12","886,5","967,61","163,6",608,686,931,"846,3","020,1",912125
,"sraey
94-52",elaM,"331,1","770,6","144,81","587,41","248,91","730,01","867,1","138,1",699,"744,3","831,5",0791201
,,elameF,"250,1","217,5","158,32","527,11","770,02","323,6",657,"320,1",636,"561,3","507,1",896669
,"sraey
42-51",elaM,058,"727,5","045,61","014,8","557,11","650,1",746,"170,1",386,"783,1","645,2",706126
,,elameF,888,"635,5","810,761","874,6","964,21",278,334,456,934,"824,1",507,641987
,"sraey
41-5",elaM,306,"813,5","705,21","809,1","599,6",753,861,942,77,327,"999,1",157724
,,elameF,726,"180,5","162,51","140,1","882,7",291,511,59,85,407,226,665483
,")s(raey
4-0",elaM,822,"515,5","167,51","431,4","941,4",742,98,43,0,594,887,438804
,,elameF,262,"421,5","515,01","935,2","165,4",921,46,63,1,034,525,526753
"ytilicaf
fo
emaN",,,"ihahsjaR
,latipsoH
egelloC
lacideM
ihahsjaR","rupgnaR
,latipsoH
egelloC
lacideM
rupgnaR","akahD
,latipsoH
egelloC
lacideM
ydrawarhuS
deehahS","argoB
,latipsoH
egelloC
lacideM
namhaR
ruaiZ
dihahS","akahD
,droftiM
,latipsoH
egelloC
lacideM
hllumilaS
riS","akahD
,sesaesiD
ralucsavoidraC
fo
etutitsnI
lanoitaN","akahD
,latipsoH
dna
tsehC
eht
fo
sesaesiD
fo
etutitsnI
lanoitaN","akahD
,ygolorU
&
sesaesiD
yendiK
fo
etutitsnI
lanoitaN","akahD
,hcraeseR
dna
htlaeH
latneM
fo
etutitsnI
lanoitaN",")SNIN(
secneicsorueN
fO
etutitsnI
lanoitaN","cideapohtrO
&
ygolotamuarT
)ROTIN(akahD
fo
etutitsnI
,noitatilibaheR
lanoitaN",latoT
.lS .on,,,194,294,394,494,594,694,794,894,994,005,105,
