0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,052,001,005,005,0521,078,001,005,004,005,052,0001
,denoitcnaS,deB,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,85,2.94,4.25,1.88,2.29,3.58,4.68,0.001,9.88,0.001,4.38,4.29
ROB,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,03,3.3,0.7,9.11,1.5,2.31,1.41,0.01,5.51,1.9,5.5,8.01
SLA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,9501,5834,8556,4866,64062,9134,2421,7602,2261,6577,3795,8075
noissimdA,elameF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,1381,2284,0807,1666,26106,32611,8191,6633,8032,78801,0047,76232
,elaM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,4001,9466,13332,9749,41644,3503,0542,3853,0292,82891,8132,87691
"tisiV
ycnegremE",elameF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,2311,7087,98842,4239,34358,0757,6293,5395,0863,22902,8566,12035
,elaM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,31003,33502,483153,58537,74027,73875,50866,32065,16733,80388,199642,59396
"tisiV
DPO",elameF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,06744,25012,367813,45416,091511,59777,51768,669601,09235,60778,743123,653401
,elaM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"latipsoH
akahD,ilomayhS
BT
deddeB
052","laciporT
fo
esaesiD
etutitsnI
suoitcefnI
)tahredzuoF(
hsedalgnaB
dna","lareneG
deB
005
alotimruK
latipsoH","recnaC
latipsoH
fO
etutitsnI
dnA
)H&RCIN(
lanoitaN hcraeseR",")DVCIN(
esaesiD
fO
etutitsnI
ralucsavoidraC
lanoitaN","fo
)HCDIN(
sesaesiD
fo latipsoH
etutitsnI
&
tsehC
lanoitaN
eht","TNE
fo
etutitsnI
lanoitaN",")UDKIN(
yendiK
fo ygolorU
etutitsnI
dna
lanoitaN
esaesiD","latneM
fO
etutitsnI
)HMIN(
lanoitaN
htlaeH",")H
&
orueN SNIN(
fo
latipsoH
etutitsnI
&
lanoitaN secneicS","fO )OIN(
etutitsnI
ygolomlahthpO
lanoitaN","cideapohtrO
)ROTIN(
fo
etutitsnI dna
ygolotamuarT noitatilibaheR
lanoitaN"
"latipsoH
dezilaicepS
fo
emaN",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,01,11,21
N.S,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
