0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Year,,,Sandhani,,,,Red,,Quantum,,,Badhan,,Total,,
,,,,,,,Crescent,,,,,,,,,
,2001,,,"43,702",,,"19,300",,,"1,781",,"8,785",,,"73,568",
,2002,,,,,,,,,,,,,,,
,2003,,,"35,223",,,"22,810",,,"6,720",,"13,000",,,"77,753",
,2004,,,,,,,,,,,,,,,
,2005,,,"38,989",,,"24,842",,,"15,063",,"17,000",,,"95,894",
,2006,,,,,,,,,,,,,,,
,2007,,,"29,312",,,"14,612",,,"33,712",,"28,000",,,"107,643",
,2008,,,,,,,,,,,,,,,
,Total,,,"291,139",,,"180,378",,,"155,163",,"152,247",,,"915,482",
