0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Name of,Bed (N),Admission (N),,,Death (N),,,Outdoor (N),,,,,,,,
,,,,,,,,,,,,ALS,BOR,HDR,ADA,ADOP
hospital,,M,F,T,M,F,T,M,F,Child,T,,,,,
,,,,,,,,,,,,,,,,
Rangpur,600,40996,34336,75332,1880,1200,3080,150532,147664,35158,333354,2,55.18,4.34,206,913
Rajshahi,600,35056,36228,71284,1292,920,2212,69164,173232,246132,488528,2,47.54,3.35,195,1338
Barisal,600,36780,29106,65886,1504,1360,2864,184802,167728,159464,511994,6,187.57,4.45,181,1403
Dhaka,1700,37197,51778,88975,3264,3550,6814,241691,241389,206988,690068,0,0.00,9.57,244,1891
Mitford,600,23948,18233,42181,1148,475,1623,95004,100795,68350,264149,7,130.64,3.76,116,724
Mymensingh,800,45024,47958,92982,2244,2164,4408,202262,280184,197658,680104,6,185.68,4.53,255,1863
Sylhet,900,40318,38876,79194,1744,1442,3186,232462,205684,47312,485458,4,100.06,4.24,217,1330
Chittagong,1010,,,115573,,,6614,,,,926239,8,172.72,8.48,317,2538
Dinajpur,250,16736,22490,39226,430,850,1280,115534,110414,58684,284632,3,150.61,3.07,107,780
Khulna,500,15662,22454,38116,938,608,1546,98438,122292,47460,268190,7,134.35,4.56,104,735
Faridpur,250,11290,16084,27374,574,672,1246,99942,90608,35094,225644,5,137.31,4.63,75,618
Comilla,250,12387,9938,22325,655,572,1227,88631,77943,36062,202636,6,119.76,7.13,61,555
Bogra,500,17908,21757,39665,950,1147,2097,139110,136391,25692,301193,6,123.76,5.54,109,825
Shuhrowardi,375,3724,5618,9342,190,52,242,158116,189172,19562,366850,9,83.98,1.88,26,1005
Total,8935,337026,354856,807455,16813,15012,38439,1875688,2043496,1183616,6029039,5,103.87,5.22,158,1179
"Note: M- Male; F- Female; T- Total; ALS- Average Length of Stay; BOR- Bed Occupancy Rate; HDR- Hospital Death Rate; ADA- Average Daily Admission; ADOP- Average Daily
Outdoor Patients",,,,,,,,,,,,,,,,
